,workerid,education,age,language,gender,n_fails,condition,total_rt,delayBlue,delayPink,goal,goal_bot,goal_dummy,goal_dummy_bot,intention,intention_bot,knowledge,knowledge_bot,goal_rt,goal_bot_rt,goal_dummy_rt,goal_dummy_bot_rt,intention_rt,intention_bot_rt,knowledge_rt,knowledge_bot_rt,cause_rt,delay_rt,attention_rt,order,attention,cause_blue,cause_pink,cause_orange,cause_both,cause_bothOrange,cause_pb,cause_bp,cause_ob,cause_blue_norm,cause_pink_norm,cause_orange_norm,cause_both_norm,cause_bothOrange_norm,cause_bp_norm,cause_pb_norm,cause_ob_norm,min,flat,max
48,48,4,35,English,Female,0,condition 1,4.84035,10,10,6,NA,7,NA,7,NA,7,NA,3.571,NA,4.34,NA,20.765,NA,3.259,NA,16.305,16.747,19.665,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'How likely is it that Brock knew how to open the door?'] [4, 'Was Brock aiming to open the door?']",3,7,6,5,6,7,6,7,5,0.333333333,0.166666667,0,0.166666667,1,0.333333333,0.5,0,5,FALSE,3
49,49,2,49,english,Female,0,condition 3,7.590333333,10,5,6,6,3,5,5,6,6,6,5.063,3.869,13.113,2.918,4.619,3.75,3.397,3.03,31.066,12.009,12.733,"[1, 'Was Brock aiming to clean the room?'] [2, 'Was the vacuum-bot aiming to open the door?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'How likely is it that Brock knew how to open the door?'] [5, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [6, 'How likely is it that the vacuum-bot knew how to open the door?'] [7, 'Was the vacuum-bot aiming to clean the room?'] [8, 'Was Brock aiming to open the door?']",2,2,2,1,7,1,4,7,1,0.071428571,0.071428571,0,0.428571429,0,0.428571429,0.5,0,1,FALSE,2.333333333
50,50,3,36,ENG,Male,0,condition 3,3.482183333,15,6,2,3,5,5,4,4,2,6,5.391,3.738,2.745,2.501,2.154,2.372,7.642,4.207,16.56,13.157,13.303,"[1, 'How likely is it that Brock knew how to open the door?'] [2, 'Was Brock aiming to open the door?'] [3, 'How likely is it that the vacuum-bot knew how to open the door?'] [4, 'Was the vacuum-bot aiming to clean the room?'] [5, 'How likely is it that Brock intentionally opened the door?'] [6, 'Was the vacuum-bot aiming to open the door?'] [7, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [8, 'Was Brock aiming to clean the room?']",2,5,6,4,5,4,4,6,5,0.166666667,0.333333333,0,0.166666667,0,0.333333333,0,0.333333333,4,FALSE,2
51,51,4,37,English,Male,0,condition 2,7.812416667,25,10,7,NA,2,NA,7,NA,6,NA,3.575,NA,8.101,NA,10.829,NA,12.041,NA,86.203,46.458,29.282,"[1, 'How likely is it that Brock-bot intentionally opened the door?'] [2, 'Was Brock-bot aiming to open the door?'] [3, 'Was Brock-bot aiming to clean the room?'] [4, 'How likely is it that Brock-bot knew how to open the door?']",2,3,3,1,2,1,1,7,1,0.181818182,0.181818182,0,0.090909091,0,0.545454545,0,0,1,FALSE,1.833333333
52,52,2,32,english,Female,0,condition 2,4.7093,3,3,7,NA,3,NA,7,NA,7,NA,2.84,NA,6.797,NA,6.025,NA,2.806,NA,23.103,14.212,14.962,"[1, 'How likely is it that Brock-bot intentionally opened the door?'] [2, 'Was Brock-bot aiming to clean the room?'] [3, 'How likely is it that Brock-bot knew how to open the door?'] [4, 'Was Brock-bot aiming to open the door?']",3,1,1,1,7,1,1,7,1,0,0,0,0.5,0,0.5,0,0,1,FALSE,2
53,53,2,36,English,Male,0,condition 1,8.048133333,7,2,7,NA,2,NA,7,NA,6,NA,5.95,NA,4.561,NA,2.742,NA,3.537,NA,36.854,24.49,16.084,"[1, 'Was Brock aiming to open the door?'] [2, 'How likely is it that Brock intentionally opened the door?'] [3, 'How likely is it that Brock knew how to open the door?'] [4, 'Was Brock aiming to clean the room?']",3,3,3,1,6,1,1,7,1,0.133333333,0.133333333,0,0.333333333,0,0.4,0,0,1,FALSE,2.5
54,54,3,39,English,Female,0,condition 1,4.124833333,6,3,7,NA,1,NA,7,NA,7,NA,2.792,NA,15.997,NA,4.319,NA,4.064,NA,45.484,21.775,16.591,"[1, 'Was Brock aiming to clean the room?'] [2, 'Was Brock aiming to open the door?'] [3, 'How likely is it that Brock knew how to open the door?'] [4, 'How likely is it that Brock intentionally opened the door?']",3,5,5,3,7,3,1,7,1,0.2,0.2,0.333333333,0.3,0.333333333,0.3,0,0,1,FALSE,3.333333333
55,55,4,37,English,Female,1,condition 3,5.3836,5,5,4,5,4,5,3,6,5,5,5.524,3.163,3.403,2.446,2.591,2.831,17.442,10.057,20.726,15.393,9.988,"[1, 'How likely is it that the vacuum-bot knew how to open the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [4, 'Was the vacuum-bot aiming to open the door?'] [5, 'How likely is it that Brock intentionally opened the door?'] [6, 'How likely is it that Brock knew how to open the door?'] [7, 'Was Brock aiming to open the door?'] [8, 'Was the vacuum-bot aiming to clean the room?']",3,4,5,6,4,3,5,6,4,0.142857143,0.285714286,0.75,0.142857143,0,0.428571429,0.5,0.25,3,FALSE,1.75
56,56,2,33,English,Male,0,condition 2,5.900866667,5,3,6,NA,1,NA,6,NA,5,NA,24.843,NA,6.83,NA,6.445,NA,5.634,NA,56.158,32.501,38.426,"[1, 'Was Brock-bot aiming to open the door?'] [2, 'How likely is it that Brock-bot intentionally opened the door?'] [3, 'Was Brock-bot aiming to clean the room?'] [4, 'How likely is it that Brock-bot knew how to open the door?']",1,1,1,1,1,1,1,7,1,0,0,0,0,0,1,0,0,1,FALSE,1
57,57,1,29,English,Male,0,condition 1,8.657966667,2,2,4,NA,5,NA,5,NA,4,NA,2.139,NA,5.745,NA,2.856,NA,3.064,NA,152.016,5.552,5.123,"[1, 'Was Brock aiming to clean the room?'] [2, 'How likely is it that Brock knew how to open the door?'] [3, 'Was Brock aiming to open the door?'] [4, 'How likely is it that Brock intentionally opened the door?']",3,4,3,2,3,4,4,3,4,0.4,0.2,0,0.2,0.4,0.2,0.4,0.4,2,FALSE,1
58,58,3,26,english,Female,0,condition 3,8.876066667,12,15,7,5,2,2,7,6,6,5,2.39,3.234,3.927,3.838,119.03,3.152,4.008,4.063,68.161,12.695,16.957,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'How likely is it that Brock knew how to open the door?'] [3, 'Was the vacuum-bot aiming to clean the room?'] [4, 'Was Brock aiming to clean the room?'] [5, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [6, 'Was the vacuum-bot aiming to open the door?'] [7, 'Was Brock aiming to open the door?'] [8, 'How likely is it that the vacuum-bot knew how to open the door?']",3,2,2,1,7,1,3,6,1,0.076923077,0.076923077,0,0.461538462,0,0.384615385,0.333333333,0,1,FALSE,2.166666667
59,59,3,45,ENGLISH,Female,0,condition 2,6.620483333,2,2,4,NA,2,NA,4,NA,5,NA,6.358,NA,6.927,NA,13.375,NA,30.753,NA,42.946,13.462,20.51,"[1, 'How likely is it that Brock-bot intentionally opened the door?'] [2, 'Was Brock-bot aiming to clean the room?'] [3, 'How likely is it that Brock-bot knew how to open the door?'] [4, 'Was Brock-bot aiming to open the door?']",3,3,4,1,6,4,2,5,2,0.142857143,0.214285714,0,0.357142857,0.5,0.285714286,0.166666667,0.166666667,1,FALSE,2.333333333
60,60,3,61,English,Female,0,condition 3,5.796333333,10,5,7,2,5,7,7,2,7,5,4.195,5.032,13.77,4.468,4.52,17.364,4.862,10.681,61.124,28.433,29.25,"[1, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [2, 'Was the vacuum-bot aiming to open the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'How likely is it that Brock knew how to open the door?'] [5, 'How likely is it that Brock intentionally opened the door?'] [6, 'Was Brock aiming to open the door?'] [7, 'Was the vacuum-bot aiming to clean the room?'] [8, 'How likely is it that the vacuum-bot knew how to open the door?']",2,3,1,1,7,1,3,7,1,0.142857143,0,0,0.428571429,0,0.428571429,0.333333333,0,1,FALSE,2.333333333
61,61,3,28,english,Male,0,condition 1,9.1552,5,5,6,NA,4,NA,5,NA,5,NA,5.352,NA,2.461,NA,11,NA,1.994,NA,18.428,5.163,5.715,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'Was Brock aiming to open the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'How likely is it that Brock knew how to open the door?']",3,4,5,6,5,4,6,6,5,0,0.25,0.666666667,0.25,0,0.5,0.666666667,0.333333333,4,FALSE,1.333333333
62,62,2,57,English,Female,0,condition 1,4.333616667,36,15,7,NA,1,NA,7,NA,7,NA,8.341,NA,3.466,NA,2.482,NA,4.845,NA,29.29,18.404,19.423,"[1, 'Was Brock aiming to open the door?'] [2, 'How likely is it that Brock knew how to open the door?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'Was Brock aiming to clean the room?']",3,2,1,2,7,2,2,7,2,0.076923077,0,0.166666667,0.461538462,0.166666667,0.461538462,0.166666667,0.166666667,1,FALSE,2.166666667
63,63,3,40,English,Female,0,condition 2,9.129483333,6,10,7,NA,1,NA,4,NA,1,NA,2.793,NA,77.662,NA,4.935,NA,53.004,NA,97.205,12.327,69.783,"[1, 'How likely is it that Brock-bot knew how to open the door?'] [2, 'How likely is it that Brock-bot intentionally opened the door?'] [3, 'Was Brock-bot aiming to clean the room?'] [4, 'Was Brock-bot aiming to open the door?']",2,2,2,1,7,3,3,7,2,0.071428571,0.071428571,0,0.428571429,0.333333333,0.428571429,0.333333333,0.166666667,1,FALSE,2.333333333
64,64,3,41,English,Male,0,condition 2,8.556416667,2,2,5,NA,4,NA,7,NA,5,NA,9.807,NA,9.574,NA,18.714,NA,12.832,NA,25.313,24.156,71.357,"[1, 'How likely is it that Brock-bot intentionally opened the door?'] [2, 'Was Brock-bot aiming to clean the room?'] [3, 'How likely is it that Brock-bot knew how to open the door?'] [4, 'Was Brock-bot aiming to open the door?']",3,7,5,4,6,5,5,6,6,0.375,0.125,0,0.25,0.333333333,0.25,0.333333333,0.666666667,4,FALSE,2.666666667
65,65,4,42,English,Male,0,condition 3,9.320616667,3,1,6,1,1,2,7,1,7,1,3.032,3.416,3.248,9.475,3.351,4.209,3.389,2.82,61.862,17.419,10.038,"[1, 'Was the vacuum-bot aiming to clean the room?'] [2, 'How likely is it that Brock intentionally opened the door?'] [3, 'How likely is it that Brock knew how to open the door?'] [4, 'Was Brock aiming to open the door?'] [5, 'Was Brock aiming to clean the room?'] [6, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [7, 'Was the vacuum-bot aiming to open the door?'] [8, 'How likely is it that the vacuum-bot knew how to open the door?']",1,7,1,1,4,1,1,4,1,0.5,0,0,0.25,0,0.25,0,0,1,FALSE,2
66,66,3,60,eng,Female,0,condition 2,5.45495,2,2,4,NA,5,NA,3,NA,5,NA,2.816,NA,12.213,NA,4.927,NA,4.184,NA,76.542,17.094,61.816,"[1, 'Was Brock-bot aiming to clean the room?'] [2, 'How likely is it that Brock-bot intentionally opened the door?'] [3, 'Was Brock-bot aiming to open the door?'] [4, 'How likely is it that Brock-bot knew how to open the door?']",1,2,4,3,5,4,2,5,2,0,0.25,0.2,0.375,0.4,0.375,0,0,2,FALSE,1.6
67,67,2,43,English,Male,0,condition 1,4.884816667,15,3,7,NA,1,NA,7,NA,5,NA,3.963,NA,3.524,NA,14.97,NA,6.792,NA,78.799,40.034,19.439,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'Was Brock aiming to open the door?'] [3, 'How likely is it that Brock knew how to open the door?'] [4, 'Was Brock aiming to clean the room?']",3,4,4,1,6,1,1,6,1,0.1875,0.1875,0,0.3125,0,0.3125,0,0,1,FALSE,2.666666667
68,68,4,34,English,Male,0,condition 3,6.4564,5,8,7,6,6,6,6,6,6,6,2.841,64.539,2.26,3.832,2.341,2.108,34.942,4.523,63.037,11.24,2.569,"[1, 'How likely is it that the vacuum-bot knew how to open the door?'] [2, 'Was the vacuum-bot aiming to clean the room?'] [3, 'Was Brock aiming to open the door?'] [4, 'Was Brock aiming to clean the room?'] [5, 'Was the vacuum-bot aiming to open the door?'] [6, 'How likely is it that Brock knew how to open the door?'] [7, 'How likely is it that Brock intentionally opened the door?'] [8, 'What is the likelihood that the vacuum-bot had the intention to open the door?']",1,6,7,6,7,7,6,6,7,0,0.5,0,0.5,1,0,0,1,6,FALSE,2
69,69,3,50,English,Male,0,condition 3,9.6206,5,3,6,4,4,5,6,5,6,4,4.8,7.401,6.458,19.842,4.599,19.249,9.657,7.906,81.207,42.601,71.339,"[1, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [2, 'How likely is it that the vacuum-bot knew how to open the door?'] [3, 'Was Brock aiming to open the door?'] [4, 'Was Brock aiming to clean the room?'] [5, 'Was the vacuum-bot aiming to clean the room?'] [6, 'How likely is it that Brock knew how to open the door?'] [7, 'Was the vacuum-bot aiming to open the door?'] [8, 'How likely is it that Brock intentionally opened the door?']",2,4,4,2,6,2,4,5,2,0.181818182,0.181818182,0,0.363636364,0,0.272727273,0.4,0,2,FALSE,2.2
70,70,3,34,english,Male,0,condition 1,5.620766667,35,60,5,NA,5,NA,6,NA,6,NA,6.429,NA,32.957,NA,6.317,NA,4.509,NA,40.864,25.476,37.455,"[1, 'Was Brock aiming to clean the room?'] [2, 'How likely is it that Brock intentionally opened the door?'] [3, 'Was Brock aiming to open the door?'] [4, 'How likely is it that Brock knew how to open the door?']",1,5,7,6,5,6,5,6,6,0,0.666666667,0.5,0,0.5,0.333333333,0,0.5,5,FALSE,1.5
71,71,1,30,English,Male,0,condition 1,10.63163333,2,3,4,NA,5,NA,4,NA,6,NA,1.98,NA,4.685,NA,1.782,NA,2.916,NA,12.365,4.324,4.909,"[1, 'Was Brock aiming to clean the room?'] [2, 'How likely is it that Brock intentionally opened the door?'] [3, 'How likely is it that Brock knew how to open the door?'] [4, 'Was Brock aiming to open the door?']",3,3,4,3,2,3,3,4,4,0.2,0.4,0.2,0,0.2,0.4,0.2,0.4,2,FALSE,1
72,72,3,29,English,Male,0,condition 1,2.84035,10,5,7,NA,1,NA,7,NA,7,NA,1.98,NA,2.851,NA,4.037,NA,2.671,NA,23.177,12.659,9.75,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'Was Brock aiming to open the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'How likely is it that Brock knew how to open the door?']",2,1,1,1,7,1,1,7,1,0,0,0,0.5,0,0.5,0,0,1,FALSE,2
73,73,3,35,English,Male,0,condition 2,10.53423333,10,15,6,NA,6,NA,5,NA,5,NA,8.051,NA,1.537,NA,4.895,NA,2.484,NA,10.097,4.34,2.752,"[1, 'Was Brock-bot aiming to open the door?'] [2, 'How likely is it that Brock-bot intentionally opened the door?'] [3, 'How likely is it that Brock-bot knew how to open the door?'] [4, 'Was Brock-bot aiming to clean the room?']",3,5,6,5,6,5,5,6,6,0,0.333333333,0,0.333333333,0,0.333333333,0,0.5,5,FALSE,1.5
74,74,3,37,English,Male,0,condition 3,7.971316667,20,25,7,7,7,7,7,7,7,7,5.833,6.65,13.579,8.58,8.989,10.164,8.905,8.838,63.857,29.666,83.068,"[1, 'Was Brock aiming to clean the room?'] [2, 'How likely is it that Brock knew how to open the door?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'Was the vacuum-bot aiming to open the door?'] [5, 'Was Brock aiming to open the door?'] [6, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [7, 'How likely is it that the vacuum-bot knew how to open the door?'] [8, 'Was the vacuum-bot aiming to clean the room?']",1,7,6,6,7,7,7,5,7,0.4,0.2,0.5,0.4,1,0,1,1,5,FALSE,2.5
75,75,3,27,Amharic,Male,0,condition 3,5.606333333,10,5,7,6,2,3,7,6,6,5,5.085,5.839,6.82,4.959,5.691,11.691,5.234,14.764,47.19,15.045,41.569,"[1, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'Was the vacuum-bot aiming to open the door?'] [4, 'Was the vacuum-bot aiming to clean the room?'] [5, 'How likely is it that the vacuum-bot knew how to open the door?'] [6, 'How likely is it that Brock intentionally opened the door?'] [7, 'Was Brock aiming to open the door?'] [8, 'How likely is it that Brock knew how to open the door?']",3,2,2,1,7,1,4,7,1,0.071428571,0.071428571,0,0.428571429,0,0.428571429,0.5,0,1,FALSE,2.333333333
76,76,3,49,English,Male,0,condition 3,3.599516667,10,5,6,4,1,5,6,4,5,4,2.086,2.351,3.865,12.495,9.668,25.575,2.927,2.631,22.188,9.59,7.206,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'Was Brock aiming to open the door?'] [3, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [4, 'How likely is it that the vacuum-bot knew how to open the door?'] [5, 'How likely is it that Brock knew how to open the door?'] [6, 'Was the vacuum-bot aiming to open the door?'] [7, 'Was the vacuum-bot aiming to clean the room?'] [8, 'Was Brock aiming to clean the room?']",2,3,5,1,7,1,1,6,1,0.117647059,0.235294118,0,0.352941176,0,0.294117647,0,0,1,FALSE,2.833333333
77,77,3,28,English,Male,0,condition 2,3.150166667,30,10,7,NA,1,NA,7,NA,7,NA,5.326,NA,3.021,NA,2.793,NA,3.226,NA,18.709,11.46,17.982,"[1, 'Was Brock-bot aiming to open the door?'] [2, 'How likely is it that Brock-bot knew how to open the door?'] [3, 'Was Brock-bot aiming to clean the room?'] [4, 'How likely is it that Brock-bot intentionally opened the door?']",3,4,4,1,7,1,1,7,1,0.166666667,0.166666667,0,0.333333333,0,0.333333333,0,0,1,FALSE,3
78,78,5,44,Chinese,Male,0,condition 1,11.06958333,1,1,7,NA,1,NA,6,NA,7,NA,3.791,NA,3.453,NA,6.209,NA,6.388,NA,41.703,19.023,28.518,"[1, 'How likely is it that Brock knew how to open the door?'] [2, 'Was Brock aiming to open the door?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'Was Brock aiming to clean the room?']",1,1,1,1,1,1,1,7,1,0,0,0,0,0,1,0,0,1,FALSE,1
79,79,3,30,English,Male,0,condition 3,10.60501667,5,12,7,7,7,7,7,5,7,5,4.11,3.642,6.232,4.476,4.286,3.415,12.55,3.215,40.417,24.681,60.789,"[1, 'How likely is it that Brock knew how to open the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'Was the vacuum-bot aiming to clean the room?'] [5, 'Was the vacuum-bot aiming to open the door?'] [6, 'How likely is it that the vacuum-bot knew how to open the door?'] [7, 'Was Brock aiming to open the door?'] [8, 'What is the likelihood that the vacuum-bot had the intention to open the door?']",3,7,7,7,6,6,6,5,6,0.4,0.4,1,0.2,0.5,0,0.5,0.5,5,FALSE,2.5
80,80,2,48,English,Male,0,condition 1,3.80215,4,3,7,NA,4,NA,7,NA,5,NA,2.71,NA,5.984,NA,3.361,NA,5.79,NA,35.922,17.251,30.498,"[1, 'How likely is it that Brock knew how to open the door?'] [2, 'Was Brock aiming to open the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'How likely is it that Brock intentionally opened the door?']",2,4,4,1,7,1,4,7,1,0.166666667,0.166666667,0,0.333333333,0,0.333333333,0.5,0,1,FALSE,3
81,81,2,62,English,Female,0,condition 2,10.35513333,5,3,7,NA,2,NA,7,NA,6,NA,5.373,NA,9.319,NA,8.019,NA,6.287,NA,43.623,23.463,33.723,"[1, 'How likely is it that Brock-bot intentionally opened the door?'] [2, 'Was Brock-bot aiming to clean the room?'] [3, 'How likely is it that Brock-bot knew how to open the door?'] [4, 'Was Brock-bot aiming to open the door?']",3,1,1,4,7,4,4,7,4,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,FALSE,2
82,82,3,27,English,Male,0,condition 3,3.985566667,9,3,7,6,2,4,7,5,6,5,2.325,2.962,5.208,7.114,2.524,4.758,3.288,3.295,47.435,11.082,17.991,"[1, 'Was the vacuum-bot aiming to clean the room?'] [2, 'How likely is it that Brock knew how to open the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'How likely is it that the vacuum-bot knew how to open the door?'] [5, 'Was the vacuum-bot aiming to open the door?'] [6, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [7, 'Was Brock aiming to open the door?'] [8, 'How likely is it that Brock intentionally opened the door?']",3,2,3,1,4,1,1,7,1,0.083333333,0.166666667,0,0.25,0,0.5,0,0,1,FALSE,2
83,83,3,63,English,Female,0,condition 1,10.08726667,2,3,7,NA,7,NA,6,NA,7,NA,1.951,NA,6.741,NA,4.175,NA,3.311,NA,15.046,10.227,40.268,"[1, 'Was Brock aiming to clean the room?'] [2, 'Was Brock aiming to open the door?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'How likely is it that Brock knew how to open the door?']",2,7,6,4,5,7,7,6,6,0.375,0.25,0,0.125,1,0.25,1,0.666666667,4,FALSE,2.666666667
84,84,3,45,English,Male,0,condition 1,8.398883333,8,3,7,NA,1,NA,7,NA,7,NA,2.632,NA,9.137,NA,3.766,NA,3.858,NA,50.886,20.584,114.58,"[1, 'Was Brock aiming to clean the room?'] [2, 'Was Brock aiming to open the door?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'How likely is it that Brock knew how to open the door?']",2,2,3,1,6,2,3,7,1,0.071428571,0.142857143,0,0.357142857,0.166666667,0.428571429,0.333333333,0,1,FALSE,2.333333333
85,85,3,35,english,Female,0,condition 2,5.197216667,5,5,7,NA,7,NA,7,NA,7,NA,31.822,NA,2.955,NA,3.773,NA,3.383,NA,34.731,33.227,8.724,"[1, 'Was Brock-bot aiming to open the door?'] [2, 'How likely is it that Brock-bot knew how to open the door?'] [3, 'How likely is it that Brock-bot intentionally opened the door?'] [4, 'Was Brock-bot aiming to clean the room?']",2,7,6,5,4,5,7,6,6,0.428571429,0.285714286,0.333333333,0,0.333333333,0.285714286,1,0.666666667,4,FALSE,2.333333333
86,86,3,45,english,Female,0,condition 1,4.063783333,1,1,7,NA,4,NA,7,NA,7,NA,3.658,NA,6.194,NA,4.458,NA,8.764,NA,61.682,12.453,12.833,"[1, 'How likely is it that Brock knew how to open the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'Was Brock aiming to open the door?'] [4, 'How likely is it that Brock intentionally opened the door?']",3,1,1,1,7,1,1,7,1,0,0,0,0.5,0,0.5,0,0,1,FALSE,2
87,87,3,34,English,Male,0,condition 3,4.890516667,6,4,6,3,3,5,6,4,5,5,3.097,4.607,5.253,4.147,2.629,5.499,3.7,12.644,39.322,10.947,22.612,"[1, 'How likely is it that the vacuum-bot knew how to open the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'Was Brock aiming to open the door?'] [4, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [5, 'How likely is it that Brock intentionally opened the door?'] [6, 'How likely is it that Brock knew how to open the door?'] [7, 'Was the vacuum-bot aiming to open the door?'] [8, 'Was the vacuum-bot aiming to clean the room?']",2,4,3,1,3,1,1,6,1,0.25,0.166666667,0,0.166666667,0,0.416666667,0,0,1,FALSE,2
88,88,3,33,English,Male,0,condition 3,3.8029,5,1,2,3,4,5,4,5,4,6,1.865,1.717,4.685,1.406,1.714,2.397,10.153,6.08,23.553,15.007,22.341,"[1, 'How likely is it that Brock knew how to open the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'Was the vacuum-bot aiming to open the door?'] [5, 'Was the vacuum-bot aiming to clean the room?'] [6, 'Was Brock aiming to open the door?'] [7, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [8, 'How likely is it that the vacuum-bot knew how to open the door?']",3,5,4,4,5,4,3,3,3,0.4,0.2,0.25,0.4,0.25,0,0,0,3,FALSE,1.25
89,89,3,25,English,Male,0,condition 1,11.84825,5,5,4,NA,6,NA,5,NA,5,NA,2.219,NA,1.758,NA,30.126,NA,2.289,NA,26.73,13.232,4.28,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'How likely is it that Brock knew how to open the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'Was Brock aiming to open the door?']",3,4,5,5,4,5,5,6,5,0,0.333333333,0.333333333,0,0.333333333,0.666666667,0.333333333,0.333333333,4,FALSE,1
90,90,3,40,ENGLISH,Female,0,condition 1,10.5821,20,10,7,NA,4,NA,7,NA,6,NA,15.129,NA,15.545,NA,4.896,NA,6.403,NA,51.352,66.334,25.138,"[1, 'Was Brock aiming to open the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'How likely is it that Brock knew how to open the door?']",3,5,5,1,7,1,3,7,1,0.2,0.2,0,0.3,0,0.3,0.333333333,0,1,FALSE,3.333333333
91,91,3,36,English,Male,0,condition 2,11.73585,3,6,7,NA,6,NA,6,NA,6,NA,7.729,NA,42.249,NA,8.836,NA,6.637,NA,117.598,27.819,41.49,"[1, 'Was Brock-bot aiming to clean the room?'] [2, 'How likely is it that Brock-bot intentionally opened the door?'] [3, 'Was Brock-bot aiming to open the door?'] [4, 'How likely is it that Brock-bot knew how to open the door?']",3,1,3,1,5,1,6,1,1,0,0.333333333,0,0.666666667,0,0,0.833333333,0,1,FALSE,1
92,92,4,40,English,Female,0,condition 1,7.256916667,20,25,7,NA,3,NA,6,NA,7,NA,11.351,NA,6.428,NA,17.352,NA,5.339,NA,56.861,25.642,35.732,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'Was Brock aiming to open the door?'] [3, 'How likely is it that Brock knew how to open the door?'] [4, 'Was Brock aiming to clean the room?']",3,6,6,6,5,4,5,6,6,0.285714286,0.285714286,0.666666667,0.142857143,0,0.285714286,0.333333333,0.666666667,4,FALSE,2.333333333
93,93,3,44,english,Female,0,condition 3,3.970433333,15,5,7,7,1,4,7,7,7,7,2.92,2.509,8.069,5.705,4.012,3.657,4.095,4.074,24.524,24.478,12.094,"[1, 'Was Brock aiming to clean the room?'] [2, 'Was the vacuum-bot aiming to clean the room?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'How likely is it that the vacuum-bot knew how to open the door?'] [5, 'How likely is it that Brock knew how to open the door?'] [6, 'Was Brock aiming to open the door?'] [7, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [8, 'Was the vacuum-bot aiming to open the door?']",2,1,4,1,7,1,1,7,1,0,0.2,0,0.4,0,0.4,0,0,1,FALSE,2.5
94,94,3,43,English,Male,0,condition 2,3.657683333,10,5,2,NA,7,NA,2,NA,2,NA,8.942,NA,4.69,NA,3.158,NA,6.672,NA,32.757,17.936,20.771,"[1, 'Was Brock-bot aiming to open the door?'] [2, 'How likely is it that Brock-bot knew how to open the door?'] [3, 'How likely is it that Brock-bot intentionally opened the door?'] [4, 'Was Brock-bot aiming to clean the room?']",3,2,3,1,4,1,1,4,1,0.111111111,0.222222222,0,0.333333333,0,0.333333333,0,0,1,FALSE,1.5
95,95,3,27,English,Female,0,condition 2,5.750033333,4,2,7,NA,5,NA,6,NA,5,NA,4.489,NA,15.05,NA,4.383,NA,4.133,NA,59.552,26.553,22.804,"[1, 'Was Brock-bot aiming to clean the room?'] [2, 'Was Brock-bot aiming to open the door?'] [3, 'How likely is it that Brock-bot knew how to open the door?'] [4, 'How likely is it that Brock-bot intentionally opened the door?']",3,3,3,3,4,4,1,4,1,0.2,0.2,0.333333333,0.3,0.5,0.3,0,0,1,FALSE,1.666666667
